"Album","RowID","Track","TrackID","RateCount","Path","ELO","Artist"
"Bitter & Twisted","1133","Let Me Down","42612","0","D:\Music\Music\Area 7\Bitter & Twisted\09 Let Me Down.m4a","1600","Area 7"
"Complete Clapton","1134","Let It Rain","42613","0","D:\Music\Music\Eric Clapton\Complete Clapton\1-08 Let It Rain.m4a","1600","Eric Clapton"
"Echoes, Silence, Patience & Grace","1135","Let It Die","42614","0","D:\Music\Music\Foo Fighters\Echoes, Silence, Patience & Grace\02 Let It Die.m4a","1600","Foo Fighters"
"Pulp Fiction","1136","Let's Stay Together","42615","0","D:\Music\Music\Various Artists\Pulp Fiction\04 Let's Stay Together.m4a","1600","Al Green"
"Rise & Fall, Rage & Grace","1137","Let's Hear It For Rock Bottom","42616","0","D:\Music\Music\The Offspring\Rise & Fall, Rage & Grace\11 Let's Hear It For Rock Bottom.m4a","1600","The Offspring"
"Master of Puppets","1138","Leper Messiah","42617","0","D:\Music\Music\Metallica\Master of Puppets\06 Leper Messiah.m4a","1600","Metallica"
"Dude Ranch","1139","Lemmings","42618","0","D:\Music\Music\Blink-182\Dude Ranch\14 Lemmings.m4a","1600","Blink-182"
"Various - Stoneage Cameos","1140","Leilani","42619","0","D:\Music\Music\Various Artists\Various - Stoneage Cameos\08 Leilani.m4a","1600","The Living End"
"Flight of the Conchords","1141","Leggy Blonde (Featuring Rhys Darby)","42620","0","D:\Music\Music\Flight of the Conchords\Flight of the Conchords\08 Leggy Blonde (Featuring Rhys Darb.m4a","1600","Flight of the Conchords"
"Sing Loud, Sing Proud","1142","The Legend Of Finn Maccumhail","42621","0","D:\Music\Music\Dropkick Murphys\Sing Loud, Sing Proud\02 The Legend Of Finn Maccumhail.m4a","1600","Dropkick Murphys"
"Triple J Hottest 100, Vol. 05","1143","Legend Of A Cowgirl","42622","0","D:\Music\Music\Compilations\Triple J Hottest 100, Vol. 05\2-12 Legend Of A Cowgirl.m4a","1600","Imani Coppola"
"Tenacious D","1144","Lee","42623","0","D:\Music\Music\Tenacious D\Tenacious D\13 Lee.m4a","1600","Tenacious D"
"Firefly","1145","Leaving/Caper/Spaceball","42624","0","D:\Music\Music\Greg Edmonson\Firefly\11 Leaving_Caper_Spaceball.m4a","1600","Greg Edmonson"
"I'm Not Dead","1146","Leave Me Alone (I'm Lonely)","42625","0","D:\Music\Music\P!nk\I'm Not Dead\08 Leave Me Alone (I'm Lonely).m4a","1600","P!nk"
"Reflector","1147","Leave Me Alone","42626","0","D:\Music\Music\Killing Heidi\Reflector\05 Leave Me Alone.m4a","1600","Killing Heidi"
"Mas Borracho","1148","Leave Me Alone","42627","0","D:\Music\Music\Infectious Grooves\Mas Borracho\13 Leave Me Alone.m4a","1600","Infectious Grooves"
"Say It To My Face","1149","Leave Me Alone","42628","0","D:\Music\Music\Area 7\Say It To My Face\01 Leave Me Alone.m4a","1600","Area 7"
"Anthology: Through The Years","1150","Learning To Fly","42629","0","D:\Music\Music\Tom Petty & The Heartbreakers\Anthology_ Through The Years\30 Learning To Fly.m4a","2100","Tom Petty & The Heartbreakers"
"Chickenfoot","1151","Learning to Fall","42630","0","D:\Music\Music\Chickenfoot\Chickenfoot\09 Learning to Fall.m4a","1600","Chickenfoot"
"Supersunnyspeedgraphic, the LP","1152","Learn to Live With What You Are","42631","0","D:\Music\Music\Ben Folds\Supersunnyspeedgraphic, the LP\05 Learn to Live With What You Are.m4a","1600","Ben Folds"
"There Is Nothing Left to Lose","1153","Learn to Fly","42632","0","D:\Music\Music\Foo Fighters\There Is Nothing Left to Lose\03 Learn to Fly.m4a","2100","Foo Fighters"
"Curtains","1154","Leap Your Bar","42633","0","D:\Music\Music\John Frusciante\Curtains\11 Leap Your Bar.m4a","1600","John Frusciante"
"Alright, Still","1155","LDN","42634","0","D:\Music\Music\Lily Allen\Alright, Still\03 LDN.m4a","2100","Lily Allen"
"Incredibad","1156","Lazy Sunday [feat. Chris Parnell]","42635","0","D:\Music\Music\The Lonely Island\Incredibad\06 Lazy Sunday [feat. Chris Parnell].m4a","1600","The Lonely Island"
"Doo Wops and Hooligans","1157","The Lazy Song","42636","0","D:\Music\Music\Bruno Mars\Doo Wops and Hooligans\05 The Lazy Song.m4a","1600","Bruno Mars"
"Complete Clapton","1158","Layla","42637","0","D:\Music\Music\Eric Clapton\Complete Clapton\1-10 Layla.m4a","2100","Eric Clapton"
"Greatest Hits: The Ultimate Collection","1159","Lay Your Hands On Me","42638","0","D:\Music\Music\Bon Jovi\Greatest Hits_ The Ultimate Collection\12 Lay Your Hands On Me.m4a","1600","Bon Jovi"
"Complete Clapton","1160","Lay Down Sally","42639","0","D:\Music\Music\Eric Clapton\Complete Clapton\1-16 Lay Down Sally.m4a","2100","Eric Clapton"
"Songs For Silverman","1161","Late","42640","0","D:\Music\Music\Ben Folds\Songs For Silverman\08 Late.m4a","1600","Ben Folds"
"King For A Day , Fool For A Lifetime","1162","The Last To Know","42641","0","D:\Music\Music\Faith No More\King For A Day , Fool For A Lifetime\13 The Last To Know.m4a","1600","Faith No More"
"In Your Honor","1163","The Last Song","42642","0","D:\Music\Music\Foo Fighters\In Your Honor\1-06 The Last Song.m4a","1600","Foo Fighters"
"Nimrod","1164","Last Ride In","42643","0","D:\Music\Music\Green Day\Nimrod\10 Last Ride In.m4a","1600","Green Day"
"Ben Folds Five","1165","The Last Polka","42644","0","D:\Music\Music\Ben Folds Five\Ben Folds Five\11 The Last Polka.m4a","1600","Ben Folds Five"
"21st Century Breakdown","1166","Last of the American Girls","42645","0","D:\Music\Music\Green Day\21st Century Breakdown\10 Last of the American Girls.m4a","1600","Green Day"
"21st Century Breakdown","1167","Last Night on Earth","42646","0","D:\Music\Music\Green Day\21st Century Breakdown\07 Last Night on Earth.m4a","1600","Green Day"
"The Worst Of","1168","The Last Lager Waltz","42647","0","D:\Music\Music\Kevin _Bloody_ Wilson\The Worst Of\01 The Last Lager Waltz.m4a","1100","Kevin ""Bloody"" Wilson"
"Vitalogy","1169","Last Exit","42648","0","D:\Music\Music\Pearl Jam\Vitalogy\01 Last Exit.m4a","1600","Pearl Jam"
"Album of the Year","1170","Last Cup Of Sorrow","42649","0","D:\Music\Music\Faith No More\Album of the Year\03 Last Cup Of Sorrow.m4a","1600","Faith No More"
"Mad Season","1171","Last Beautiful Girl","42650","0","D:\Music\Music\Matchbox Twenty\Mad Season\04 Last Beautiful Girl.m4a","1600","Matchbox Twenty"
"Compulsive Disclosure","1172","Landlords","42651","0","D:\Music\Music\Pinhead Gunpowder\Compulsive Disclosure\03 Landlords.m4a","1600","Pinhead Gunpowder"
"Songs For Silverman","1173","Landed","42652","0","D:\Music\Music\Ben Folds\Songs For Silverman\04 Landed.m4a","1600","Ben Folds"
"Angel Dust","1174","Land of Sunshine","42653","0","D:\Music\Music\Faith No More\Angel Dust\01 Land of Sunshine.m4a","1600","Faith No More"
"The Commitments, Vol. 2","1175","Land of a Thousand Dances","42654","0","D:\Music\Music\The Commitments\The Commitments, Vol. 2\09 Land of a Thousand Dances.m4a","1600","The Commitments"
"Triple J Hottest 100, Vol. 05","1176","Lakini's Juice","42655","0","D:\Music\Music\Compilations\Triple J Hottest 100, Vol. 05\2-03 Lakini's Juice.m4a","1600","Live"
"Flight of the Conchords","1177","Ladies Of The World","42656","0","D:\Music\Music\Flight of the Conchords\Flight of the Conchords\05 Ladies Of The World.m4a","1600","Flight of the Conchords"
"General Patton vs. The X-Ecutioners","1178","L.O.L. !loser On Line!","42657","0","D:\Music\Music\General Patton vs. The X-Ecutioners\General Patton vs. The X-Ecutioners\21 L.O.L. !loser On Line!.m4a","1600","General Patton vs. The X-Ecutioners"
"Temptation: Music from the Showtime Series Californication","1179","L.A. Woman (Paul Oakenfold Remix)","42658","0","D:\Music\Music\Compilations\Temptation_ Music from the Showtime Seri\04 L.A. Woman (Paul Oakenfold Remix).m4a","1600","The Doors / Paul Oakenfold"
"Tenacious D","1180","Kyle Quit The Band","42659","0","D:\Music\Music\Tenacious D\Tenacious D\10 Kyle Quit The Band.m4a","1600","Tenacious D"
"Indie Anthems","1181","Kung Foo Sing","42660","0","D:\Music\Music\Compilations\Indie Anthems\1-14 Kung Foo Sing.m4a","1600","Regurgitator"
"Rise & Fall, Rage & Grace","1182","Kristy, Are You Doing Okay?","42661","0","D:\Music\Music\The Offspring\Rise & Fall, Rage & Grace\07 Kristy, Are You Doing Okay_.m4a","1600","The Offspring"
"1,039/Smoothed Out Slappy Hours","1183","Knowledge","42662","0","D:\Music\Music\Green Day\1,039_Smoothed Out Slappy Hours\14 Knowledge.m4a","1600","Green Day"
"21st Century Breakdown","1184","Know Your Enemy","42663","0","D:\Music\Music\Green Day\21st Century Breakdown\03 Know Your Enemy.m4a","1600","Green Day"
"Use Your Illusion II","1185","Knockin' On Heaven's Door","42664","0","D:\Music\Music\Guns N' Roses\Use Your Illusion II\04 Knockin' On Heaven's Door.m4a","2100","Guns N' Roses"
"Complete Clapton","1186","Knockin' On Heaven's Door","42665","0","D:\Music\Music\Eric Clapton\Complete Clapton\1-13 Knockin' On Heaven's Door.m4a","1600","Eric Clapton"
"Mother's Milk","1187","Knock Me Down","42666","0","D:\Music\Music\Red Hot Chili Peppers\Mother's Milk\06 Knock Me Down.m4a","1600","Red Hot Chili Peppers"
"Alright, Still","1188","Knock 'Em Out","42667","0","D:\Music\Music\Lily Allen\Alright, Still\02 Knock 'Em Out.m4a","1600","Lily Allen"
"Blackout","1189","Kiss me, Im shitfaced","42668","0","D:\Music\Music\Dropkick Murphys\Blackout\14 Kiss me, Im shitfaced.m4a","1600","Dropkick Murphys"
"Mousetrap Heart","1190","Kiss Me Away","42669","0","D:\Music\Music\Thirsty Merc\Mousetrap Heart\02 Kiss Me Away.m4a","1600","Thirsty Merc"
"Flight of the Conchords","1191","A Kiss Is Not A Contract","42670","0","D:\Music\Music\Flight of the Conchords\Flight of the Conchords\11 A Kiss Is Not A Contract.m4a","2100","Flight of the Conchords"
"Blue Sky Mining","1192","King of the Mountain","42671","0","D:\Music\Music\Midnight Oil\Blue Sky Mining\06 King of the Mountain.m4a","1600","Midnight Oil"
"King For A Day , Fool For A Lifetime","1193","King For A Day","42672","0","D:\Music\Music\Faith No More\King For A Day , Fool For A Lifetime\11 King For A Day.m4a","1600","Faith No More"
"Nimrod","1194","King For A Day","42673","0","D:\Music\Music\Green Day\Nimrod\16 King For A Day.m4a","2100","Green Day"
"Greatest Hits II","1195","A Kind Of Magic","42674","0","D:\Music\Music\Queen\Greatest Hits II\01 A Kind Of Magic.m4a","1600","Queen"
"Roll On","1196","Killing The Right","42675","0","D:\Music\Music\The Living End\Roll On\12 Killing The Right.m4a","1600","The Living End"
"Lullaby Renditions of Queen","1197","Killer Queen","42676","0","D:\Music\Music\Rockabye Baby!\Lullaby Renditions of Queen\06 Killer Queen.m4a","1600","Rockabye Baby!"
"Greatest Hits I","1198","Killer Queen","42677","0","D:\Music\Music\Queen\Greatest Hits I\03 Killer Queen.m4a","1600","Queen"
"Smash","1199","Killboy Powerhead","42678","0","D:\Music\Music\The Offspring\Smash\10 Killboy Powerhead.m4a","1600","The Offspring"
"Stone Sour","1200","Kill Everybody","42679","0","D:\Music\Music\Stone Sour\Stone Sour\17 Kill Everybody.m4a","1600","Stone Sour"
"Use Your Fingers","1201","Kids in America","42680","0","D:\Music\Music\Bloodhound Gang\Use Your Fingers\06 Kids in America.m4a","1600","Bloodhound Gang"
"Americana","1202","The Kids Aren't Alright","42681","0","D:\Music\Music\The Offspring\Americana\05 The Kids Aren't Alright.m4a","2100","The Offspring"
"White Noise","1203","Kid","42682","0","D:\Music\Music\The Living End\White Noise\08 Kid.m4a","1600","The Living End"
"Say It To My Face","1204","Kicks","42683","0","D:\Music\Music\Area 7\Say It To My Face\12 Kicks.m4a","1600","Area 7"
"The Pick Of Destiny","1205","Kickapoo","42684","0","D:\Music\Music\Tenacious D\The Pick Of Destiny\01 Kickapoo.m4a","2600","Tenacious D"
"Born Again Piss Tank","1206","Kev's Love Song (Dinkum 'Bout Ya Darlin')","42685","0","D:\Music\Music\Kevin _Bloody_ Wilson\Born Again Piss Tank\02 Kev's Love Song (Dinkum 'Bout Ya.m4a","1600","Kevin ""Bloody"" Wilson"
"The Worst Of","1207","Kev's Courtin' Song","42686","0","D:\Music\Music\Kevin _Bloody_ Wilson\The Worst Of\07 Kev's Courtin' Song.m4a","1600","Kevin ""Bloody"" Wilson"
"Self Titled","1208","Keeper","42687","0","D:\Music\Music\John Butler Trio\Self Titled\08 Keeper.m4a","1600","John Butler Trio"
"Greatest Hits: The Ultimate Collection","1209","Keep The Faith","42688","0","D:\Music\Music\Bon Jovi\Greatest Hits_ The Ultimate Collection\22 Keep The Faith.m4a","1600","Bon Jovi"
"Temptation: Music from the Showtime Series Californication","1210","Keep On","42689","0","D:\Music\Music\Compilations\Temptation_ Music from the Showtime Seri\14 Keep On.m4a","1600","Champion"
"Volume 4: Songs In the Key of Love and Hate","1211","Keep It Together","42690","0","D:\Music\Music\Puddle Of Mudd\Volume 4_ Songs In the Key of Love and H\03 Keep It Together.m4a","1600","Puddle Of Mudd"
"Buffy the Vampire Slayer","1212","Keep It Comin' (Dance Till You Can't Dance No More!)","42691","0","D:\Music\Music\Compilations\Buffy the Vampire Slayer\01 Keep It Comin' (Dance Till You Ca.m4a","1600","C+C Music Factory"
"Whatever & Ever Amen","1213","Kate","42692","0","D:\Music\Music\Ben Folds Five\Whatever & Ever Amen\06 Kate.m4a","1600","Ben Folds Five"
"Indie Anthems","1214","Karma Police","42693","0","D:\Music\Music\Compilations\Indie Anthems\2-03 Karma Police.m4a","1600","Radiohead"
"Neighborhoods (Deluxe Version)","1215","Kaleidoscope","42694","0","D:\Music\Music\Blink-182\Neighborhoods (Deluxe Version)\09 Kaleidoscope.m4a","1600","Blink-182"
"Slideshows","1216","Kaleidoscope","42695","0","D:\Music\Music\Thirsty Merc\Slideshows\11 Kaleidoscope.m4a","1600","Thirsty Merc"
"Brown Album","1217","Kalamazoo","42696","0","D:\Music\Music\Primus\Brown Album\13 Kalamazoo.m4a","1600","Primus"
"Chaos A.D.","1218","Kaiowas","42697","0","D:\Music\Music\Sepultura\Chaos A.D_\05 Kaiowas.m4a","1600","Sepultura"
"It's Not Me, It's You","1219","Kabul Shit","42698","0","D:\Music\Music\Lily Allen\It's Not Me, It's You\13 Kabul Shit.m4a","1600","Lily Allen"
"Greatest Hits Volume I","1220","Just The Way You Are","42699","0","D:\Music\Music\Billy Joel\Greatest Hits Volume I\08 Just The Way You Are.m4a","1600","Billy Joel"
"Nut Sack","1221","Just One Beer","42700","0","D:\Music\Music\Rodney Carrington\Nut Sack\12 Just One Beer.m4a","1600","Rodney Carrington"
"M!ssundaztood","1222","Just Like A Pill","42701","0","D:\Music\Music\P!nk\M!ssundaztood\03 Just Like A Pill.m4a","1600","P!nk"
"Jackie Brown","1223","Just Ask Melanie","42702","0","D:\Music\Music\Various Artists\Jackie Brown\15 Just Ask Melanie.m4a","1600","Film Dialogue"
"Indie Anthems","1224","Just Ace","42703","0","D:\Music\Music\Compilations\Indie Anthems\1-07 Just Ace.m4a","1600","Grinspoon"
"King For A Day , Fool For A Lifetime","1225","Just A Man","42704","0","D:\Music\Music\Faith No More\King For A Day , Fool For A Lifetime\14 Just A Man.m4a","1600","Faith No More"
"Mas Borracho","1226","Just A Lil Bit","42705","0","D:\Music\Music\Infectious Grooves\Mas Borracho\02 Just A Lil Bit.m4a","1600","Infectious Grooves"
"Tragic Kingdom","1227","Just a Girl","42706","0","D:\Music\Music\No Doubt\Tragic Kingdom\03 Just a Girl.m4a","2600","No Doubt"
"Beetlejuice","1228","Juno's Theme","42707","0","D:\Music\Music\Danny Elfman\Beetlejuice\08 Juno's Theme.m4a","1600","Danny Elfman"
"Sing-A-Longs & Lullabies for the Film Curious George","1229","Jungle Gym","42708","0","D:\Music\Music\Jack Johnson\Sing-A-Longs & Lullabies for the Film Cu\06 Jungle Gym.m4a","1600","Jack Johnson"
"Pulp Fiction","1230","Jungle Boogie","42709","0","D:\Music\Music\Various Artists\Pulp Fiction\03 Jungle Boogie.m4a","1600","Kool & The Gang"
"I-Empire","1231","Jumping Rooftops","42710","0","D:\Music\Music\Angels & Airwaves\I-Empire\10 Jumping Rooftops.m4a","1600","Angels & Airwaves"
"Kill 'em All","1232","Jump in the Fire","42711","0","D:\Music\Music\Metallica\Kill 'em All\04 Jump in the Fire.m4a","1600","Metallica"
"Beetlejuice","1233","Jump In Line (Shake, Shake Senora)","42712","0","D:\Music\Music\Danny Elfman\Beetlejuice\20 Jump In Line (Shake, Shake Senora.m4a","2100","Harry Belafonte"
"Ben Folds Five","1234","Julianne","42713","0","D:\Music\Music\Ben Folds Five\Ben Folds Five\03 Julianne.m4a","2100","Ben Folds Five"
"1,039/Smoothed Out Slappy Hours","1235","The Judge's Daughter","42714","0","D:\Music\Music\Green Day\1,039_Smoothed Out Slappy Hours\10 The Judge's Daughter.m4a","1600","Green Day"
"Death Magnetic","1236","The Judas Kiss","42715","0","D:\Music\Music\Metallica\Death Magnetic\08 The Judas Kiss.m4a","1600","Metallica"
"Dude Ranch","1237","Josie","42716","0","D:\Music\Music\Blink-182\Dude Ranch\11 Josie.m4a","2100","Blink-182"
"Wolfmother","1238","Joker and the Thief","42717","0","D:\Music\Music\Wolfmother\Wolfmother\06 Joker and the Thief.m4a","1600","Wolfmother"
"The Riddle Box","1239","The Joker's Wild","42718","0","D:\Music\Music\Insane Clown Posse\The Riddle Box\10 The Joker's Wild.m4a","1600","Insane Clown Posse"
"Prime Cuts","1240","Join The New Army","42719","0","D:\Music\Music\Suicidal Tendencies\Prime Cuts\02 Join The New Army.m4a","1600","Suicidal Tendencies"
"The Meanest of Times","1241","Johnny, I Hardly Knew Ya","42720","0","D:\Music\Music\Dropkick Murphys\The Meanest of Times\14 Johnny, I Hardly Knew Ya.m4a","1600","Dropkick Murphys"
"Mother's Milk","1242","Johnny Kick A Hole In The Sky","42721","0","D:\Music\Music\Red Hot Chili Peppers\Mother's Milk\13 Johnny Kick A Hole In The Sky.m4a","1600","Red Hot Chili Peppers"
"April Uprising","1243","Johnny's Gone","42722","0","D:\Music\Music\John Butler Trio\April Uprising\06 Johnny's Gone.m4a","1600","John Butler Trio"
"Frizzle Fry","1244","John The Fisherman","42723","0","D:\Music\Music\Primus\Frizzle Fry\06 John The Fisherman.m4a","1600","Primus"
"Hump De Bump","1245","Joe","42724","0","D:\Music\Music\Red Hot Chili Peppers\Hump De Bump\02 Joe.m4a","1600","Red Hot Chili Peppers"
"Say It To My Face","1246","JJ","42725","0","D:\Music\Music\Area 7\Say It To My Face\11 JJ.m4a","2100","Area 7"
"Incredibad","1247","Jizz In My Pants","42726","0","D:\Music\Music\The Lonely Island\Incredibad\03 Jizz In My Pants.m4a","1600","The Lonely Island"
"Nimrod","1248","Jinx","42727","0","D:\Music\Music\Green Day\Nimrod\11 Jinx.m4a","1600","Green Day"
"Modern Artillery","1249","Jimmy","42728","0","D:\Music\Music\The Living End\Modern Artillery\05 Jimmy.m4a","1600","The Living End"
"American Idiot","1250","Jesus of Suburbia","42729","0","D:\Music\Music\Green Day\American Idiot\02 Jesus of Suburbia.m4a","1600","Green Day"
"Ten","1251","Jeremy","42730","0","D:\Music\Music\Pearl Jam\Ten\06 Jeremy.m4a","2100","Pearl Jam"
"Mellon Collie and the Infinite Sadness","1252","Jellybelly","42731","0","D:\Music\Music\Smashing Pumpkins\Mellon Collie and the Infinite Sadness\1-03 Jellybelly.m4a","1600","Smashing Pumpkins"
"Big Ones","1253","Janie's Got A Gun","42732","0","D:\Music\Music\Aerosmith\Big Ones\06 Janie's Got A Gun.m4a","1600","Aerosmith"
"Legend","1254","Jamming","42733","0","D:\Music\Music\Bob Marley & The Wailers\Legend\15 Jamming.m4a","1600","Bob Marley & The Wailers"
"The Blues Brothers","1255","Jailhouse Rock","42734","0","D:\Music\Music\Various Artists\The Blues Brothers\11 Jailhouse Rock.m4a","1600","Jake Blues"
"Naked Baby Photos","1256","Jackson Cannery","42735","0","D:\Music\Music\Ben Folds Five\Naked Baby Photos\02 Jackson Cannery.m4a","1600","Ben Folds Five"
"The Essential Johnny Cash","1257","Jackson (with June Carter Cash)","42736","0","D:\Music\Music\Johnny Cash\The Essential Johnny Cash\2-03 Jackson (with June Carter Cash).m4a","1600","Johnny Cash"
"Warning!","1258","Jackass","42737","0","D:\Music\Music\Green Day\Warning!\09 Jackass.m4a","1600","Green Day"
"The Best Of","1259","Jack The Ripper","42738","0","D:\Music\Music\Nick Cave & The Bad Seeds\The Best Of\09 Jack The Ripper.m4a","1600","Nick Cave & The Bad Seeds"
"Turtleneck & Chain","1260","Jack Sparrow [feat. Michael Bolton]","42739","0","D:\Music\Music\The Lonely Island\Turtleneck & Chain\04 Jack Sparrow [feat. Michael Bolto.m4a","1600","The Lonely Island"
"Pulp Fiction","1261","Jack Rabbit Slim's Twist Contest [Dialogue] / You Never Can Tell","42740","0","D:\Music\Music\Various Artists\Pulp Fiction\09 Jack Rabbit Slim's Twist Contest.m4a","1600","Chuck Berry"
"The Worst Of","1262","It Was Over (Kev's Lament)","42741","0","D:\Music\Music\Kevin _Bloody_ Wilson\The Worst Of\05 It Was Over (Kev's Lament).m4a","1600","Kevin ""Bloody"" Wilson"
"It Had to Be You","1263","It Had to Be You","42742","0","D:\Music\Music\Harry Connick, Jr_\It Had to Be You\01 It Had to Be You.m4a","1600","Harry Connick, Jr."
"Greatest Hits","1264","It Ain't Over 'Til It's Over","42743","0","D:\Music\Music\Lenny Kravitz\Greatest Hits\05 It Ain't Over 'Til It's Over.m4a","1600","Lenny Kravitz"
"Greatest Hits Volume II","1265","It's Still Rock And Roll To Me","42744","0","D:\Music\Music\Billy Joel\Greatest Hits Volume II\05 It's Still Rock And Roll To Me.m4a","1600","Billy Joel"
"Appetite For Destruction","1266","It's So Easy","42745","0","D:\Music\Music\Guns N' Roses\Appetite For Destruction\02 It's So Easy.m4a","1600","Guns N' Roses"
"Post","1267","It's Oh So Quiet","42746","0","D:\Music\Music\Björk\Post\04 It's Oh So Quiet.m4a","1600","Björk"
"Greatest Hits: The Ultimate Collection","1268","It's My Life","42747","0","D:\Music\Music\Bon Jovi\Greatest Hits_ The Ultimate Collection\03 It's My Life.m4a","1600","Bon Jovi"
"Complete Clapton","1269","It's In The Way That You Use It","42748","0","D:\Music\Music\Eric Clapton\Complete Clapton\2-04 It's In The Way That You Use It.m4a","1600","Eric Clapton"
"The Best Of Hedgehoppers Anonymous","1270","It's Good News Week","42749","0","D:\Music\Music\Hedgehoppers Anonymous\The Best Of Hedgehoppers Anonymous\03 It's Good News Week.m4a","1600","Hedgehoppers Anonymous"
"Garage Inc","1271","It's Electric","42750","0","D:\Music\Music\Metallica\Garage Inc\2-14 It's Electric.m4a","1600","Metallica"
"Break the Cycle","1272","It's Been Awhile","42751","0","D:\Music\Music\Staind\Break the Cycle\It's Been Awhile.m4a","1600","Staind"
"Lullaby Renditions of ACDC","1273","It's a Long Way to the Top (If You Want to Rock 'n' Roll)","42752","0","D:\Music\Music\Rockabye Baby!\Lullaby Renditions of ACDC\07 It's a Long Way to the Top (If Yo.m4a","1600","Rockabye Baby!"
"Greatest Hits II","1274","It's A Hard Life","42753","0","D:\Music\Music\Queen\Greatest Hits II\07 It's A Hard Life.m4a","1600","Queen"
"Smash","1275","It'll Be A Long Time","42754","0","D:\Music\Music\The Offspring\Smash\09 It'll Be A Long Time.m4a","1600","The Offspring"
"Legend","1276","Is This Love","42755","0","D:\Music\Music\Bob Marley & The Wailers\Legend\01 Is This Love.m4a","1600","Bob Marley & The Wailers"
"Sailing The Seas Of Cheese","1277","Is It Luck","42756","0","D:\Music\Music\Primus\Sailing The Seas Of Cheese\07 Is It Luck.m4a","1600","Primus"
"B'day","1278","Irreplaceable","42757","0","D:\Music\Music\Beyonce\B'day\09 Irreplaceable.m4a","2100","Beyonce"
"Greatest Hits II","1279","The Invisible Man","42758","0","D:\Music\Music\Queen\Greatest Hits II\13 The Invisible Man.m4a","1600","Queen"
"St. Anger","1280","Invisible Kid","42759","0","D:\Music\Music\Metallica\St. Anger\05 Invisible Kid.m4a","1100","Metallica"
"Invaders Must Die","1281","Invaders Must Die","42760","0","D:\Music\Music\The Prodigy\Invaders Must Die\01 Invaders Must Die.m4a","1600","The Prodigy"
"Conspiracy Of One","1282","Intro","42761","0","D:\Music\Music\The Offspring\Conspiracy Of One\01 Intro.m4a","1600","The Offspring"
"State of Emergency","1283","Into The Red","42762","0","D:\Music\Music\The Living End\State of Emergency\14 Into The Red.m4a","1600","The Living End"
"Triple J Hottest 100, Vol. 05","1284","Into My Arms","42763","0","D:\Music\Music\Compilations\Triple J Hottest 100, Vol. 05\2-01 Into My Arms.m4a","1600","Nick Cave & The Bad Seeds"
"Triple J Hottest 100, Vol. 06","1285","Intergalactic","42764","0","D:\Music\Music\Compilations\Triple J Hottest 100, Vol. 06\2-01 Intergalactic.m4a","1600","Beastie Boys"
"Prime Cuts","1286","Institutionalized","42765","0","D:\Music\Music\Suicidal Tendencies\Prime Cuts\04 Institutionalized.m4a","1600","Suicidal Tendencies"
"Self Titled","1287","Inspiration","42766","0","D:\Music\Music\John Butler Trio\Self Titled\02 Inspiration.m4a","1600","John Butler Trio"
"Stone Sour","1288","Inside The Cynic","42767","0","D:\Music\Music\Stone Sour\Stone Sour\16 Inside The Cynic.m4a","1600","Stone Sour"
"Inside Of Emptiness","1289","Inside A Break","42768","0","D:\Music\Music\John Frusciante\Inside Of Emptiness\03 Inside A Break.m4a","1600","John Frusciante"
"Black Sunday","1290","Insane In The Brain","42769","0","D:\Music\Music\Cypress Hill\Black Sunday\03 Insane In The Brain.m4a","2100","Cypress Hill"
"Flight of the Conchords","1291","Inner City Pressure","42770","0","D:\Music\Music\Flight of the Conchords\Flight of the Conchords\02 Inner City Pressure.m4a","1600","Flight of the Conchords"
"Stone Sour","1292","Inhale","42771","0","D:\Music\Music\Stone Sour\Stone Sour\07 Inhale.m4a","1600","Stone Sour"
"Say It To My Face","1293","Individuality","42772","0","D:\Music\Music\Area 7\Say It To My Face\05 Individuality.m4a","1600","Area 7"
"#1's","1294","Independent Women [Part I]","42773","0","D:\Music\Music\Destiny's Child\#1's\02 Independent Women [Part I].m4a","1600","Destiny's Child"
"Beetlejuice","1295","The Incantation","42774","0","D:\Music\Music\Danny Elfman\Beetlejuice\13 The Incantation.m4a","1600","Danny Elfman"
"Brushfire Fairytales","1296","Inaudible Melodies","42775","0","D:\Music\Music\Jack Johnson\Brushfire Fairytales\01 Inaudible Melodies.m4a","1600","Jack Johnson"
"Firefly","1297","Inara's Suite","42776","0","D:\Music\Music\Greg Edmonson\Firefly\14 Inara's Suite.m4a","1600","Greg Edmonson"
"In Your Honor","1298","In Your Honor","42777","0","D:\Music\Music\Foo Fighters\In Your Honor\1-01 In Your Honor.m4a","2100","Foo Fighters"
"Greatest Hits: The Ultimate Collection","1299","In These Arms","42778","0","D:\Music\Music\Bon Jovi\Greatest Hits_ The Ultimate Collection\14 In These Arms.m4a","1600","Bon Jovi"
"Thirsty Merc","1300","In The Summertime","42779","0","D:\Music\Music\Thirsty Merc\Thirsty Merc\05 In The Summertime.m4a","1600","Thirsty Merc"
"The Ending Is Just the Beginning Repeating","1301","In the Morning","42780","0","D:\Music\Music\The Living End\The Ending Is Just the Beginning Repeati\01 In the Morning.m4a","1600","The Living End"
"Beetlejuice","1302","In The Model","42781","0","D:\Music\Music\Danny Elfman\Beetlejuice\07 In The Model.m4a","1600","Danny Elfman"
"The Commitments","1303","In The Midnight Hour","42782","0","D:\Music\Music\The Commitments\The Commitments\12 In The Midnight Hour.m4a","1600","The Commitments"
